Year,Month,SearchInterest
2004,1,53
2004,2,96
2004,3,63
2004,4,53
2004,5,55
2004,6,54
2004,7,46
2004,8,43
2004,9,36
2004,10,35
2004,11,34
2004,12,38
2005,1,53
2005,2,95
2005,3,54
2005,4,45
2005,5,47
2005,6,49
2005,7,43
2005,8,36
2005,9,30
2005,10,25
2005,11,24
2005,12,26
2006,1,32
2006,2,59
2006,3,40
2006,4,37
2006,5,38
2006,6,40
2006,7,38
2006,8,28
2006,9,23
2006,10,21
2006,11,19
2006,12,23
2007,1,30
2007,2,52
2007,3,39
2007,4,32
2007,5,37
2007,6,40
2007,7,35
2007,8,25
2007,9,20
2007,10,19
2007,11,18
2007,12,21
2008,1,26
2008,2,61
2008,3,40
2008,4,39
2008,5,41
2008,6,42
2008,7,40
2008,8,32
2008,9,26
2008,10,22
2008,11,21
2008,12,22
2009,1,30
2009,2,67
2009,3,41
2009,4,36
2009,5,41
2009,6,44
2009,7,41
2009,8,36
2009,9,23
2009,10,22
2009,11,21
2009,12,22
2010,1,29
2010,2,100
2010,3,44
2010,4,36
2010,5,45
2010,6,41
2010,7,37
2010,8,26
2010,9,18
2010,10,17
2010,11,17
2010,12,18
2011,1,27
2011,2,71
2011,3,43
2011,4,36
2011,5,39
2011,6,42
2011,7,36
2011,8,26
2011,9,21
2011,10,19
2011,11,20
2011,12,21
2012,1,29
2012,2,78
2012,3,45
2012,4,41
2012,5,45
2012,6,50
2012,7,42
2012,8,35
2012,9,20
2012,10,18
2012,11,18
2012,12,22
2013,1,31
2013,2,71
2013,3,49
2013,4,41
2013,5,46
2013,6,52
2013,7,43
2013,8,29
2013,9,23
2013,10,21
2013,11,21
2013,12,23
2014,1,32
2014,2,72
2014,3,51
2014,4,42
2014,5,48
2014,6,56
2014,7,44
2014,8,31
2014,9,22
2014,10,19
2014,11,20
2014,12,22
2015,1,30
2015,2,88
2015,3,47
2015,4,42
2015,5,47
2015,6,54
2015,7,46
2015,8,35
2015,9,25
2015,10,21
2015,11,21
2015,12,26
2016,1,34
2016,2,76
2016,3,57
2016,4,49
2016,5,55
2016,6,69
2016,7,56
2016,8,38
2016,9,24
2016,10,22
2016,11,20
2016,12,23
2017,1,40
2017,2,69
2017,3,59
2017,4,55
2017,5,65
2017,6,79
2017,7,67
2017,8,36
2017,9,25
2017,10,22
2017,11,22
2017,12,23
2018,1,35
2018,2,54
2018,3,53
2018,4,49
2018,5,65
2018,6,72
2018,7,60
2018,8,35
2018,9,23
2018,10,20
2018,11,21
2018,12,25
2019,1,36
2019,2,42
2019,3,52
2019,4,49
2019,5,65
2019,6,70
2019,7,60
2019,8,34
2019,9,25
2019,10,20
